delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_hours,failed_delivery_flag,delayed_delivery_flag
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2026-04-28 05:59:54,Failed,17.26,1,0,3.07,12.05,16291.048333333334,1,0
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,,Ontime,10.34,1,0,5.0,13.41,,0,0
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,,Ontime,7.92,0,0,4.98,8.51,,0,0
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,,Delayed,16.42,0,0,4.18,13.62,,0,1
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,,Ontime,14.52,1,0,4.18,9.22,,0,0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2026-04-28 11:52:24,Delayed,13.84,0,0,1.57,9.58,14255.206666666667,0,1
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,,Delayed,32.72,0,0,4.64,17.7,,0,1
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2026-04-28 22:21:30,Ontime,7.16,1,0,3.76,11.66,14736.791666666666,0,0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2026-04-28 18:52:42,Ontime,40.23,1,0,3.7,15.78,17901.328333333335,0,0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2026-04-28 15:29:12,Failed,9.85,1,0,3.2,9.31,5228.336666666667,1,0
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,,Ontime,13.85,0,0,4.36,15.17,,0,0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,,Failed,16.96,3,0,4.04,16.98,,1,0
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,,Ontime,6.01,2,0,3.96,11.52,,0,0
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,,Ontime,16.46,0,0,3.67,11.74,,0,0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2026-04-28 15:56:06,Ontime,26.58,3,0,4.47,21.64,14873.151666666667,0,0
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,,Ontime,18.25,1,0,5.0,12.61,,0,0
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2026-04-28 05:42:06,Delayed,20.79,0,0,1.0,15.62,14651.268333333333,0,1
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,,Ontime,13.67,0,0,4.46,16.18,,0,0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,,Ontime,16.35,4,0,4.97,13.97,,0,0
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,,Ontime,24.31,0,0,4.15,12.61,,0,0
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2026-04-28 20:52:54,Ontime,9.77,4,0,4.07,6.43,8862.548333333334,0,0
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,,Failed,15.81,0,0,3.5,15.62,,1,0
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,,Ontime,4.29,1,0,5.0,2.5,,0,0
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2026-04-28 11:44:36,Ontime,8.58,0,0,4.78,14.62,6045.193333333334,0,0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,,Ontime,7.41,0,0,5.0,7.2,,0,0
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,,Failed,14.27,2,0,2.23,10.04,,1,0
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2026-04-28 13:30:54,Ontime,13.27,0,0,4.15,9.05,20362.181666666667,0,0
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2026-04-28 15:00:24,Delayed,15.53,2,0,2.7,13.05,12767.14,0,1
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,,Ontime,9.43,1,0,3.72,8.72,,0,0
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2026-04-28 22:12:30,Ontime,7.71,1,0,4.1,16.42,16347.258333333333,0,0
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2026-04-28 21:38:12,Ontime,12.06,0,0,4.1,14.98,6694.1033333333335,0,0
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,,Ontime,15.58,1,0,4.23,13.75,,0,0
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,,Failed,11.72,0,1,4.13,18.12,,1,0
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2026-04-28 14:57:06,Delayed,14.68,0,0,4.4,9.44,7538.935,0,1
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,,Ontime,22.05,0,0,4.96,14.78,,0,0
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2026-04-28 09:13:00,Ontime,15.77,1,0,4.35,13.68,12850.983333333334,0,0
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2026-04-28 10:07:42,Ontime,23.49,1,0,4.21,11.21,8359.728333333333,0,0
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,,Failed,8.82,2,0,3.43,13.21,,1,0
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2026-04-28 22:45:42,Failed,17.13,1,0,2.51,16.3,6630.795,1,0
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2026-04-28 04:35:18,Failed,9.53,1,0,1.68,11.11,10819.955,1,0
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,,Failed,15.88,3,1,2.94,13.19,,1,0
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,,Ontime,12.02,0,0,4.45,11.41,,0,0
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,,Ontime,11.94,0,0,4.24,11.81,,0,0
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2026-04-28 20:42:54,Ontime,4.63,0,0,4.34,12.87,15730.931666666667,0,0
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2026-04-28 03:01:36,Ontime,10.61,1,0,5.0,14.13,4130.493333333333,0,0
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,,Ontime,5.53,2,0,3.09,11.27,,0,0
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,,Ontime,16.33,0,0,5.0,10.25,,0,0
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2026-04-28 11:50:54,Delayed,7.37,0,0,3.33,14.67,18454.181666666667,0,1
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,,Ontime,12.55,0,0,3.52,6.93,,0,0
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,,Ontime,26.85,0,0,5.0,14.34,,0,0
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2026-04-28 05:52:24,Ontime,8.02,0,0,4.31,14.59,2820.423333333333,0,0
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,,Delayed,26.38,1,1,2.52,24.54,,0,1
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2026-04-28 06:29:36,Ontime,14.14,0,0,3.63,10.32,6995.86,0,0
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,,Delayed,29.8,1,0,4.7,22.28,,0,1
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,,Delayed,35.07,5,1,2.78,22.2,,0,1
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2026-04-28 00:19:18,Ontime,13.46,2,0,4.01,6.52,13250.571666666667,0,0
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2026-04-28 18:39:48,Failed,10.91,0,0,1.22,6.59,12127.78,1,0
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2026-04-28 22:57:54,Ontime,15.33,0,0,5.0,7.95,13180.198333333334,0,0
DL00059,O00521,D027,V088,H05,2025-11-26 14:07:00,,Delayed,36.28,3,0,3.11,17.45,,0,1
DL00060,O00236,D005,V026,H02,2024-11-26 16:01:00,,Delayed,13.92,1,1,2.35,9.48,,0,1
DL00061,O00635,D083,V059,H08,2024-12-06 06:18:00,2026-04-28 02:21:30,Ontime,10.51,1,0,3.8,10.6,12188.058333333332,0,0
DL00062,O00567,D061,V007,H02,2024-02-24 16:31:00,,Ontime,1.2,0,0,5.0,7.32,,0,0
DL00063,O00931,D154,V094,H03,2024-03-07 11:20:00,2026-04-28 02:37:54,Ontime,15.95,0,0,5.0,14.6,18759.298333333332,0,0
DL00064,O01236,D075,V004,H03,2025-05-30 00:35:00,,Delayed,10.36,0,0,2.34,7.13,,0,1
DL00065,O01234,D050,V065,H01,2024-02-24 01:55:00,,Ontime,1.67,1,0,4.63,6.2,,0,0
DL00066,O00568,D118,V083,H01,2025-12-19 20:41:00,2026-04-28 15:32:48,Ontime,22.39,0,0,4.03,18.25,3114.8633333333332,0,0
DL00067,O00842,D152,V023,H01,2025-07-04 04:43:00,,Ontime,12.34,1,0,4.61,11.04,,0,0
DL00068,O00828,D104,V046,H08,2024-02-19 15:15:00,,Failed,19.75,1,0,3.73,16.14,,1,0
DL00069,O01039,D010,V074,H07,2025-05-01 11:46:00,,Failed,16.76,1,0,4.17,10.73,,1,0
DL00070,O00370,D018,V036,H07,2024-11-21 18:37:00,,Ontime,16.35,0,0,4.64,18.11,,0,0
DL00071,O00796,D093,V080,H02,2025-01-28 06:57:00,,Delayed,20.37,1,0,3.57,18.14,,0,1
DL00072,O00402,D110,V027,H05,2025-11-20 06:20:00,2026-04-28 21:38:36,Delayed,28.51,0,0,3.28,15.11,3831.31,0,1
DL00073,O00421,D141,V092,H08,2025-07-23 07:06:00,,Ontime,19.34,3,0,4.68,17.54,,0,0
DL00074,O01195,D030,V092,H04,2025-01-04 08:41:00,2026-04-28 01:18:48,Failed,17.61,1,0,4.42,14.79,11488.63,1,0
DL00075,O01239,D169,V047,H02,2024-08-06 04:24:00,2026-04-28 22:04:18,Ontime,13.25,3,0,3.24,11.94,15137.671666666667,0,0
DL00076,O00815,D120,V004,H01,2024-02-25 17:02:00,,Ontime,27.51,3,0,5.0,15.16,,0,0
DL00077,O01040,D094,V067,H04,2025-12-27 22:16:00,,Delayed,32.97,3,0,2.81,18.07,,0,1
DL00078,O00173,D144,V088,H02,2025-02-18 08:26:00,,Failed,10.92,1,0,2.87,9.05,,1,0
DL00079,O00920,D009,V102,H08,2024-08-01 12:06:00,,Ontime,7.18,0,0,4.91,12.79,,0,0
DL00080,O01137,D030,V022,H04,2025-10-14 08:21:00,,Ontime,16.29,0,0,4.42,14.17,,0,0
DL00081,O00716,D166,V056,H04,2024-10-22 06:38:00,2026-04-28 18:42:36,Delayed,9.77,1,1,3.58,12.68,13284.076666666666,0,1
DL00082,O00669,D008,V048,H03,2025-07-15 15:38:00,,Ontime,3.98,1,0,4.76,5.86,,0,0
DL00083,O00451,D053,V043,H05,2025-02-15 18:28:00,,Delayed,2.13,0,0,1.44,11.27,,0,1
DL00084,O00784,D063,V117,H05,2025-03-07 03:24:00,,Failed,6.83,0,0,3.63,9.07,,1,0
DL00085,O00160,D127,V032,H06,2024-08-20 19:18:00,,Ontime,9.49,5,0,3.85,16.32,,0,0
DL00086,O01013,D159,V063,H02,2025-08-22 17:32:00,,Ontime,17.4,0,0,3.75,12.23,,0,0
DL00087,O00630,D034,V099,H07,2025-03-28 15:08:00,,Ontime,17.98,0,0,4.11,13.23,,0,0
DL00088,O00657,D088,V043,H04,2024-02-28 23:43:00,2026-04-28 16:11:24,Ontime,5.99,0,0,4.43,2.5,18952.47333333333,0,0
DL00089,O00241,D010,V112,H03,2025-04-01 15:27:00,,Failed,8.27,0,0,2.56,6.94,,1,0
DL00090,O01097,D027,V065,H04,2024-07-14 23:21:00,2026-04-28 00:31:48,Ontime,33.86,3,0,4.76,24.2,15649.18,0,0
DL00091,O00941,D116,V044,H04,2024-08-12 15:04:00,,Ontime,14.47,0,0,5.0,10.57,,0,0
DL00092,O00736,D105,V016,H01,2024-01-25 00:39:00,,Ontime,7.66,1,0,4.72,8.17,,0,0
DL00093,O00579,D028,V032,H05,2025-09-05 12:14:00,,Ontime,19.68,3,0,3.69,18.64,,0,0
DL00094,O01026,D034,V012,H04,2025-05-26 22:56:00,,Delayed,4.66,0,0,3.72,16.6,,0,1
DL00095,O00416,D031,V005,H08,2024-01-07 23:00:00,,Ontime,28.69,1,0,5.0,13.48,,0,0
DL00096,O00961,D077,V110,H01,2025-03-18 16:23:00,,Delayed,1.2,0,0,3.24,2.61,,0,1
DL00097,O00794,D170,V109,H07,2024-07-16 22:51:00,,Failed,10.54,1,0,3.58,3.56,,1,0
DL00098,O00631,D004,V072,H07,2025-07-05 09:16:00,,Failed,3.86,1,0,4.43,15.58,,1,0
DL00099,O00835,D127,V093,H01,2024-05-26 18:57:00,,Ontime,5.6,2,0,4.75,13.26,,0,0
DL00100,O00205,D120,V097,H05,2025-02-05 16:42:00,2026-04-28 09:53:42,Failed,8.64,0,0,3.14,13.47,10721.195,1,0
DL00101,O00354,D141,V115,H06,2025-12-02 18:06:00,2026-04-28 18:47:00,Ontime,21.63,0,0,4.12,14.3,3528.6833333333334,0,0
DL00102,O00578,D031,V022,H02,2024-03-04 09:56:00,,Delayed,9.18,0,0,3.08,11.31,,0,1
DL00103,O00269,D004,V036,H04,2024-12-01 01:20:00,,Failed,6.26,2,0,2.24,9.31,,1,0
DL00104,O00390,D102,V111,H06,2024-03-06 12:50:00,2026-04-28 08:19:06,Ontime,8.75,0,0,4.45,7.5,18787.485,0,0
DL00105,O00596,D020,V043,H01,2025-10-02 04:09:00,,Ontime,18.52,0,0,3.73,20.45,,0,0
DL00106,O00039,D040,V015,H05,2025-08-01 08:30:00,2026-04-28 18:45:00,Ontime,18.02,0,0,4.92,15.57,6490.25,0,0
DL00107,O00175,D120,V074,H05,2025-12-19 20:22:00,,Ontime,6.47,1,0,4.69,8.8,,0,0
DL00108,O00620,D084,V009,H06,2024-11-08 01:38:00,2026-04-28 02:54:48,Ontime,13.73,1,0,4.73,17.52,12865.28,0,0
DL00109,O00019,D014,V083,H05,2024-03-31 09:02:00,2026-04-28 20:28:54,Ontime,16.7,1,0,3.52,16.91,18203.448333333334,0,0
DL00110,O00045,D024,V042,H03,2024-02-13 21:24:00,2026-04-28 15:37:24,Ontime,14.39,1,0,4.74,8.64,19314.22333333333,0,0
DL00111,O00105,D081,V090,H06,2024-07-09 23:17:00,,Ontime,18.8,0,0,5.0,20.02,,0,0
DL00112,O00848,D068,V049,H05,2025-06-03 14:51:00,,Ontime,10.88,3,0,3.68,8.03,,0,0
DL00113,O00607,D072,V083,H05,2025-08-30 19:15:00,,Ontime,7.42,0,0,2.94,15.7,,0,0
DL00114,O01196,D074,V114,H02,2024-04-12 03:31:00,,Delayed,16.99,0,0,2.62,19.44,,0,1
DL00115,O01132,D030,V116,H04,2025-05-04 01:04:00,,Ontime,18.75,1,0,4.35,8.08,,0,0
DL00116,O00121,D023,V047,H06,2025-10-14 13:45:00,2026-04-28 06:51:42,Delayed,19.9,0,0,2.92,21.64,4697.111666666667,0,1
DL00117,O00559,D080,V119,H06,2025-04-24 08:49:00,,Delayed,11.84,0,1,2.46,17.91,,0,1
