driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,experience_level
D001,Airport,Fulltime,8,67.8,3.54,Morning,1,Experienced
D002,Central,Fulltime,4,42.4,3.94,Evening,1,Intermediate
D003,Airport,Fulltime,11,96.5,5.0,Evening,1,Senior
D004,Airport,Parttime,13,88.9,4.75,Morning,1,Senior
D005,North,Fulltime,3,69.7,4.14,Morning,1,Intermediate
D006,Central,Fulltime,8,78.8,4.38,Flexible,1,Experienced
D007,North,Fulltime,4,92.6,3.94,Evening,1,Intermediate
D008,South,Fulltime,9,84.1,3.88,Morning,1,Experienced
D009,Airport,Fulltime,15,63.4,3.8,Night,1,Senior
D010,West,Fulltime,8,70.0,3.95,Evening,1,Experienced
D011,East,Fulltime,3,89.4,3.85,Night,1,Intermediate
D012,South,Fulltime,10,95.1,4.48,Night,1,Experienced
D013,West,Fulltime,11,80.8,4.31,Morning,1,Senior
D014,North,Fulltime,6,76.1,4.7,Evening,1,Experienced
D015,East,Fulltime,11,85.1,4.34,Morning,1,Senior
D016,Airport,Fulltime,6,81.9,4.31,Evening,1,Experienced
D017,East,Parttime,1,75.2,4.34,Morning,1,New
D018,West,Parttime,14,73.8,4.57,Flexible,1,Senior
D019,Riverside,Fulltime,11,73.4,3.82,Flexible,0,Senior
D020,East,Fulltime,6,75.2,4.61,Evening,1,Experienced
D021,South,Fulltime,7,91.8,4.24,Evening,1,Experienced
D022,East,Fulltime,9,68.7,3.36,Flexible,1,Experienced
D023,East,Fulltime,11,79.1,4.16,Night,1,Senior
D024,Riverside,Parttime,8,71.4,3.35,Evening,1,Experienced
D025,North,Fulltime,1,86.4,3.72,Morning,1,New
D026,North,Parttime,4,84.9,3.15,Night,0,Intermediate
D027,Airport,Parttime,12,74.3,3.7,Night,1,Senior
D028,North,Fulltime,11,83.0,4.07,Flexible,1,Senior
D029,East,Contract,2,70.2,3.84,Flexible,1,New
D030,Central,Fulltime,7,74.0,4.56,Night,1,Experienced
D031,North,Fulltime,10,91.5,4.03,Flexible,1,Experienced
D032,East,Parttime,6,81.5,3.99,Evening,1,Experienced
D033,South,Parttime,9,59.8,4.05,Night,1,Experienced
D034,West,Fulltime,11,71.3,4.27,Morning,1,Senior
D035,Central,Fulltime,5,66.2,3.71,Flexible,0,Intermediate
D036,Airport,Parttime,9,79.3,4.69,Morning,1,Experienced
D037,North,Parttime,7,63.9,4.67,Morning,1,Experienced
D038,South,Fulltime,5,67.4,3.72,Evening,1,Intermediate
D039,Airport,Contract,7,86.1,4.06,Evening,1,Experienced
D040,Riverside,Fulltime,7,55.6,4.4,Night,1,Experienced
D041,East,Parttime,3,88.2,3.67,Morning,1,Intermediate
D042,North,Fulltime,9,70.5,3.37,Night,1,Experienced
D043,North,Fulltime,13,80.3,4.6,Evening,0,Senior
D044,Airport,Fulltime,11,79.4,4.05,Night,1,Senior
D045,North,Fulltime,2,59.6,4.12,Flexible,1,New
D046,South,Fulltime,5,82.2,4.06,Morning,1,Intermediate
D047,South,Fulltime,7,64.6,4.7,Morning,1,Experienced
D048,East,Fulltime,7,76.3,3.45,Flexible,1,Experienced
D049,Central,Contract,14,41.4,4.0,Morning,1,Senior
D050,North,Fulltime,6,87.4,3.9,Evening,1,Experienced
D051,West,Fulltime,3,75.4,3.58,Evening,1,Intermediate
D052,Riverside,Fulltime,8,71.7,3.39,Morning,1,Experienced
